Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
14511,1.14,5,3,3,60.4,57.0,5861,6.78,6.83,4.11
46779,0.54,5,4,5,61.8,55.3,1804,5.22,5.24,3.23
14250,1.02,5,5,3,62.3,56.0,5773,6.41,6.44,4.0
17535,1.05,4,6,4,62.1,58.0,7056,6.54,6.5,4.05
32699,0.31,5,5,4,62.3,55.0,802,4.38,4.35,2.72
10225,1.11,4,2,4,58.3,60.0,4744,6.84,6.78,3.97
12028,1.18,5,2,3,62.1,56.0,5154,6.79,6.77,4.21
30331,0.41,3,7,2,63.8,57.0,727,4.71,4.73,3.01
53101,0.7,5,6,3,62.7,57.0,2614,5.64,5.66,3.54
44590,0.53,4,3,5,60.5,57.0,1607,5.34,5.27,3.21
19216,1.51,2,2,2,63.6,60.0,7957,7.27,7.23,4.61
21166,1.17,5,4,5,61.7,57.0,9326,6.71,6.75,4.15
10516,0.91,5,5,3,62.0,57.0,4801,6.22,6.24,3.86
22317,1.63,5,6,2,61.7,57.0,10357,7.5,7.54,4.64
1639,1.12,4,4,1,60.3,60.0,3017,6.75,6.69,4.05
51156,0.71,3,5,3,64.0,58.0,2345,5.59,5.66,3.6
11210,1.15,4,2,3,59.6,58.0,4959,6.86,6.82,4.08
8426,1.06,5,2,4,61.4,57.0,4405,6.57,6.52,4.02
48099,0.62,5,7,3,61.6,55.0,1934,5.49,5.51,3.39
17417,1.45,3,1,4,62.6,58.0,6980,7.28,7.16,4.52
48487,0.5,4,7,4,61.3,61.0,1980,5.1,5.04,3.11
31736,0.31,5,3,8,61.4,57.0,772,4.36,4.39,2.68
27663,2.29,4,2,4,60.8,60.0,18653,8.47,8.5,5.16
7585,1.13,4,3,3,62.6,60.0,4256,6.68,6.62,4.16
45054,0.63,5,3,4,62.1,54.0,1641,5.51,5.54,3.43
45046,0.51,3,6,4,61.8,58.0,1640,5.13,5.07,3.15
32138,0.31,4,3,7,61.8,59.0,786,4.36,4.32,2.68
22327,1.26,5,4,5,62.2,54.0,10371,6.89,6.98,4.31
1322,0.79,4,4,4,62.3,58.0,2959,5.92,5.89,3.68
48431,0.7,5,1,3,62.3,57.0,1974,5.69,5.71,3.55
14306,0.91,5,4,5,62.1,57.0,5795,6.17,6.2,3.84
802,0.73,4,6,4,62.5,61.0,2862,5.78,5.64,3.59
32289,0.26,2,5,5,58.0,58.0,453,4.2,4.25,2.45
11739,1.22,3,2,2,62.9,56.0,5072,6.79,6.84,4.29
29945,0.26,3,2,3,59.2,60.0,445,4.2,4.24,2.5
8356,1.02,1,7,3,70.6,57.0,4398,6.08,6.01,4.27
34791,0.4,4,4,5,60.7,58.0,877,4.78,4.81,2.91
29598,0.35,4,3,6,61.9,58.0,706,4.5,4.54,2.8
24748,2.0,4,7,2,61.9,59.0,13098,8.02,8.0,4.98
32440,0.43,3,5,3,62.9,59.0,792,4.79,4.84,3.03
43981,0.32,5,1,4,62.1,54.0,393,4.38,4.44,2.74
772,0.7,5,7,4,61.0,57.0,2859,5.76,5.74,3.51
25476,1.85,5,2,6,62.4,57.0,14245,7.91,7.86,4.92
39751,0.43,5,3,7,62.3,54.0,1094,4.84,4.85,3.02
8697,1.58,4,2,1,60.2,61.0,4459,7.55,7.51,4.53
4396,0.31,2,7,3,63.7,54.0,571,4.31,4.35,2.76
27927,0.38,4,6,3,58.1,58.0,658,4.85,4.79,2.8
39050,0.55,5,3,2,62.2,54.0,1057,5.28,5.3,3.29
43429,0.5,3,7,3,60.3,59.0,1415,5.11,5.14,3.09
39048,0.41,5,6,7,62.1,56.0,1057,4.76,4.78,2.96
9964,1.14,3,1,5,60.0,60.0,4702,6.76,6.81,4.07
41123,0.6,4,7,2,62.0,57.0,1196,5.43,5.35,3.34
5053,0.31,5,3,3,62.7,56.0,573,4.38,4.33,2.73
38395,0.39,4,4,6,60.7,61.0,1024,4.73,4.7,2.86
50696,0.44,5,7,7,61.0,57.0,2290,4.91,4.93,3.0
5974,0.9,4,5,2,59.7,60.0,3951,6.25,6.22,3.72
34101,0.36,5,7,4,61.7,55.0,852,4.58,4.6,2.83
23615,1.34,5,4,7,62.2,56.0,11640,7.11,7.04,4.4
16109,1.18,5,3,3,61.5,57.0,6440,6.78,6.82,4.18
12079,0.94,5,5,2,60.6,54.0,5159,6.39,6.34,3.86
28782,0.37,3,7,3,62.3,56.0,681,4.61,4.64,2.88
30018,0.41,3,7,3,63.0,57.0,717,4.64,4.7,2.94
37595,0.23,3,6,6,63.8,57.0,485,3.88,3.9,2.48
47718,0.52,5,6,5,61.3,56.0,1886,5.18,5.22,3.19
48853,0.82,2,1,3,57.5,62.0,2033,6.2,6.25,3.58
27143,1.6,4,4,7,61.5,58.0,17360,7.58,7.48,4.63
38308,0.31,2,2,3,64.3,55.0,488,4.29,4.27,2.75
7418,1.02,1,5,3,61.8,50.0,4227,6.59,6.51,4.05
42432,0.53,5,3,4,62.5,56.0,1314,5.15,5.19,3.23
36887,0.35,5,4,8,60.7,57.0,959,4.59,4.61,2.79
23714,0.25,3,5,6,62.2,57.0,633,4.01,4.04,2.5
10995,1.19,5,3,2,62.0,57.0,4914,6.77,6.81,4.21
24922,2.21,4,3,2,62.9,60.0,13369,8.27,8.23,5.19
3953,0.7,5,6,4,61.3,57.0,3504,5.73,5.75,3.52
49068,1.0,4,3,1,62.7,59.0,2058,6.39,6.33,3.98
7321,1.01,3,3,4,63.1,62.0,4208,6.18,6.15,3.89
13707,1.07,5,6,2,61.5,56.0,5602,6.58,6.61,4.06
47648,0.23,5,5,6,60.3,57.0,530,3.99,4.03,2.42
8377,0.31,3,4,5,58.2,61.0,583,4.42,4.45,2.58
16732,0.4,3,6,2,61.6,55.0,611,4.75,4.83,2.95
7579,1.06,3,2,3,62.8,56.0,4255,6.47,6.52,4.08
36989,0.41,5,6,5,62.2,55.0,964,4.76,4.79,2.97
43243,0.38,5,7,7,61.8,56.0,1400,4.63,4.66,2.87
22762,1.51,5,6,2,61.9,56.0,10781,7.36,7.31,4.54
38409,0.35,4,4,6,62.4,56.0,1024,4.53,4.47,2.81
33992,0.42,5,4,4,62.4,54.0,847,4.78,4.83,3.0
32512,0.4,5,7,2,61.3,56.0,798,4.77,4.72,2.91
13757,2.22,1,1,1,66.7,56.0,5607,8.04,8.02,5.36
3239,0.81,5,7,3,61.9,57.0,3353,6.01,5.97,3.71
41953,0.23,3,6,6,61.6,61.0,505,3.92,3.97,2.43
30470,0.31,3,7,3,63.5,57.0,732,4.32,4.28,2.73
12377,0.26,2,6,8,59.6,61.0,597,4.13,4.16,2.47
16632,1.12,5,4,4,62.0,56.0,6652,6.64,6.69,4.13
25723,2.11,5,1,4,61.2,55.0,14638,8.33,8.3,5.09
46910,0.56,1,5,4,57.0,67.0,1814,5.49,5.36,3.09
200,0.7,3,6,3,59.9,63.0,2777,5.76,5.7,3.43
21175,1.13,5,4,6,62.3,57.0,9333,6.62,6.66,4.14
43834,0.55,4,4,4,62.7,60.0,1445,5.27,5.19,3.28
37859,0.44,4,6,4,60.4,59.0,1003,4.9,4.93,2.97
29853,0.3,3,7,4,62.9,56.0,710,4.24,4.28,2.68
15399,1.06,3,6,3,59.8,56.0,6169,6.63,6.67,3.98
7345,1.14,5,1,2,61.5,57.0,4212,6.73,6.77,4.15
17390,0.32,5,7,2,61.8,55.0,612,4.42,4.38,2.72
10961,1.18,1,5,2,55.9,64.0,4903,7.15,7.01,3.95
38694,0.37,4,6,4,59.5,59.0,1041,4.71,4.64,2.78
52786,0.72,4,7,3,63.0,57.0,2567,5.74,5.69,3.6
38175,0.4,5,5,6,62.0,56.0,1015,4.73,4.76,2.94
28297,0.24,5,2,7,62.3,57.0,432,3.98,3.95,2.47
36160,0.38,5,4,6,61.5,55.2,929,4.67,4.71,2.89
50025,0.73,3,7,3,62.2,57.0,2197,5.74,5.78,3.58
3764,0.9,3,5,2,63.1,58.0,3457,6.13,6.11,3.86
47141,0.51,2,7,4,58.0,60.0,1831,5.26,5.29,3.06
21549,2.03,2,2,2,63.8,63.0,9651,7.89,7.84,5.02
15068,1.03,4,7,3,61.2,54.0,6056,6.61,6.53,4.02
22398,1.5,3,3,4,58.9,59.0,10424,7.34,7.43,4.35
53790,0.54,5,5,8,62.2,54.0,2729,5.24,5.27,3.27
46425,0.53,2,4,6,64.3,58.0,1769,5.11,5.15,3.3
41159,0.38,5,7,6,61.5,57.0,1200,4.63,4.67,2.86
20692,1.23,4,4,6,59.6,59.0,8971,6.98,6.95,4.15
4306,0.82,3,7,3,61.3,56.0,3593,6.02,6.06,3.7
30193,0.42,2,5,3,63.4,56.0,722,4.75,4.78,3.02
41057,0.52,3,6,2,62.6,58.0,1190,5.11,5.14,3.21
4763,0.9,2,7,3,64.1,56.0,3689,6.07,6.04,3.88
10865,1.01,3,3,3,61.8,59.0,4876,6.37,6.41,3.95
11537,1.01,5,3,4,61.9,57.0,5028,6.42,6.48,3.99
34527,0.3,5,5,7,61.9,57.0,868,4.3,4.33,2.67
45318,0.32,5,4,4,62.4,55.0,524,4.36,4.39,2.73
11088,1.15,5,4,2,62.3,56.0,4927,6.75,6.67,4.18
32636,0.25,5,4,4,61.4,57.0,459,4.08,4.1,2.51
51670,0.72,5,6,2,62.3,54.0,2398,5.75,5.78,3.59
24047,0.38,4,2,4,60.2,58.0,633,4.69,4.75,2.84
21472,1.32,5,3,6,62.0,54.0,9571,7.05,7.06,4.37
9275,1.01,3,7,2,59.7,58.0,4564,6.55,6.61,3.93
37166,0.32,5,7,4,62.0,55.0,972,4.42,4.38,2.73
21032,0.31,5,5,4,62.3,55.0,625,4.33,4.37,2.71
52555,0.7,3,4,5,63.2,56.0,2535,5.61,5.56,3.53
4569,0.8,5,6,4,62.2,57.0,3648,5.95,5.98,3.71
9552,1.26,5,2,2,59.6,57.0,4620,7.01,7.04,4.19
20818,1.37,3,3,5,62.0,59.0,9046,7.08,7.12,4.4
32764,0.34,5,7,3,60.6,56.0,803,4.54,4.51,2.74
47324,0.23,3,7,6,61.3,58.0,530,3.93,3.97,2.42
41721,0.5,3,7,2,63.4,59.0,1243,5.03,5.0,3.18
33951,0.23,3,5,6,61.0,59.0,465,3.93,3.97,2.41
53414,0.7,5,4,5,62.6,56.0,2670,5.65,5.7,3.55
52413,0.7,5,4,5,60.6,57.0,2512,5.7,5.75,3.47
43257,0.5,5,4,4,61.6,55.0,1400,5.11,5.14,3.16
34637,0.31,4,6,4,60.0,59.0,872,4.39,4.35,2.62
18937,1.22,5,4,4,62.0,55.0,7783,6.83,6.87,4.25
857,1.04,4,2,1,61.6,61.0,2870,6.47,6.45,3.98
45281,0.55,5,4,4,61.4,56.3,1662,5.26,5.29,3.24
6649,0.9,4,6,3,59.8,58.0,4092,6.26,6.21,3.73
35982,0.31,5,5,7,62.4,55.0,921,4.32,4.34,2.7
45664,0.52,5,4,5,62.8,55.0,1694,5.16,5.13,3.23
31716,0.33,5,6,5,62.3,53.8,771,4.42,4.44,2.76
24171,1.33,4,6,5,60.5,58.0,12342,7.15,7.1,4.31
50455,0.7,2,7,2,63.3,56.0,2264,5.6,5.65,3.56
21039,0.31,3,3,6,62.4,58.0,625,4.28,4.31,2.68
8797,1.01,3,7,2,63.4,57.0,4472,6.4,6.31,4.03
5547,1.02,4,1,3,61.8,58.0,3856,6.5,6.44,4.0
39219,0.45,2,5,4,56.8,62.0,1066,5.1,5.14,2.91
26270,2.48,3,3,2,63.3,56.0,15746,8.6,8.55,5.43
40173,0.38,4,7,4,58.7,61.0,1117,4.77,4.74,2.79
37783,0.38,5,6,5,61.6,56.0,1000,4.65,4.67,2.87
26665,2.0,4,7,2,60.8,60.0,16484,8.15,8.1,4.94
33075,0.26,5,5,7,62.7,55.0,814,4.1,4.07,2.56
1881,0.78,3,4,4,61.7,58.0,3074,5.87,5.92,3.64
33538,0.35,5,6,5,61.6,57.0,829,4.5,4.53,2.78
39767,0.36,5,6,5,61.6,57.0,1094,4.58,4.54,2.81
10537,1.01,2,6,2,58.5,61.0,4807,6.51,6.61,3.84
13427,1.01,2,3,5,63.8,59.0,5515,6.34,6.3,4.03
10137,1.0,2,3,4,63.6,61.0,4722,6.25,6.21,3.96
21568,1.09,5,5,6,62.5,55.0,9668,6.52,6.6,4.1
23841,2.1,1,4,2,65.0,56.0,11923,8.09,7.98,5.21
11477,1.13,3,5,2,59.1,59.0,5014,6.81,6.87,4.04
52952,0.24,3,7,6,62.4,58.0,552,3.94,4.01,2.48
39718,0.51,3,5,2,58.9,60.0,1090,5.19,5.24,3.07
24739,2.17,4,5,2,59.3,61.0,13084,8.6,8.53,5.08
6621,1.12,4,4,2,61.2,58.0,4084,6.67,6.69,4.09
26474,2.37,5,1,4,62.2,57.0,16059,8.52,8.58,5.32
41070,0.46,5,2,8,62.2,55.0,1192,4.94,4.97,3.08
13070,1.24,5,1,4,61.7,55.0,5412,6.91,6.96,4.28
967,1.19,1,3,1,65.1,59.0,2892,6.62,6.55,4.29
19479,1.7,2,3,2,63.6,56.0,8115,7.51,7.56,4.79
14202,1.01,4,4,4,61.2,58.0,5759,6.46,6.49,3.96
747,0.33,5,2,3,63.0,57.0,557,4.39,4.37,2.76
46157,0.5,5,6,4,62.1,54.0,1746,5.13,5.11,3.18
29613,0.27,3,4,5,61.0,54.0,439,4.19,4.21,2.56
1036,0.91,3,1,3,63.5,58.0,2905,6.17,6.12,3.9
30630,0.31,5,7,4,62.2,56.0,734,4.32,4.36,2.7
43450,0.5,3,6,3,63.3,58.0,1415,5.03,4.99,3.17
25124,2.0,5,4,3,61.7,55.0,13675,8.11,8.07,4.99
33431,0.32,4,4,5,62.1,56.0,828,4.43,4.4,2.74
51674,0.67,2,5,6,63.8,61.0,2398,5.46,5.54,3.52
19255,1.24,5,4,6,61.9,56.0,7986,6.87,6.83,4.24
50747,0.58,4,6,5,62.2,58.0,2297,5.35,5.3,3.31
5284,1.0,2,5,2,64.1,58.0,3799,6.35,6.26,4.04
4293,0.91,5,5,2,60.9,57.0,3588,6.27,6.3,3.83
24194,1.6,5,5,3,62.2,55.0,12379,7.47,7.5,4.65
40843,0.4,3,4,8,61.8,58.0,1173,4.69,4.73,2.91
43145,0.52,3,6,3,62.9,59.0,1389,5.12,5.15,3.23
48093,0.62,4,4,5,59.8,58.0,1933,5.55,5.58,3.33
12487,1.06,5,3,3,61.7,60.0,5255,6.48,6.52,4.01
53932,0.7,3,6,4,60.5,59.0,2757,5.71,5.76,3.47
6774,0.93,3,4,3,61.5,57.0,4111,6.23,6.33,3.86
43883,0.46,5,4,7,60.7,57.0,1453,4.98,5.03,3.04
4916,0.92,4,2,5,61.4,58.0,3725,6.23,6.27,3.84
6709,0.27,5,2,6,62.0,54.5,412,4.15,4.19,2.58
10007,0.9,3,6,4,62.2,56.0,4707,6.12,6.17,3.82
48543,0.54,3,7,5,59.9,57.0,1988,5.38,5.3,3.2
23769,2.01,4,3,2,62.5,62.0,11825,8.09,8.04,5.04
33597,0.37,5,4,4,62.2,57.0,833,4.64,4.59,2.87
42091,0.7,1,6,1,66.1,58.0,1273,5.61,5.51,3.67
6951,1.0,5,1,5,62.3,56.0,4144,6.43,6.38,3.99
22508,1.03,4,5,7,59.7,60.0,10546,6.63,6.57,3.94
34348,0.35,5,7,5,60.1,57.0,862,4.58,4.61,2.76
17744,1.56,4,1,5,61.3,59.0,7144,7.54,7.49,4.61
32749,0.36,5,5,5,60.8,56.0,803,4.61,4.64,2.81
18910,1.12,4,5,5,61.8,59.0,7761,6.65,6.75,4.14
45656,0.25,3,6,7,60.1,57.0,526,4.08,4.11,2.46
28177,0.3,3,7,5,60.1,58.0,666,4.35,4.37,2.62
22510,1.51,4,3,4,61.5,58.0,10548,7.45,7.32,4.45
17385,0.34,5,6,2,62.9,56.0,612,4.48,4.45,2.81
28286,0.24,3,6,4,64.5,57.0,367,3.88,3.93,2.52
3856,0.72,5,4,5,61.7,56.0,3478,5.75,5.78,3.56
12052,0.34,4,3,5,62.1,58.0,596,4.46,4.49,2.78
25041,0.3,5,5,3,62.3,54.0,641,4.3,4.27,2.67
3082,1.02,4,3,2,58.3,59.0,3313,6.61,6.57,3.84
40573,0.53,3,3,3,61.7,60.0,1152,5.17,5.21,3.2
13409,0.37,5,2,4,61.2,56.0,603,4.62,4.66,2.84
41508,0.5,3,6,2,61.6,58.0,1235,5.08,5.11,3.14
25123,2.07,4,1,4,61.5,59.0,13675,8.16,8.2,5.03
45734,0.52,5,3,5,61.0,56.0,1699,5.15,5.23,3.17
7867,0.98,4,5,2,61.8,58.0,4308,6.37,6.32,3.92
48877,0.76,3,1,5,59.3,63.0,2036,6.12,5.93,3.55
3571,0.7,2,6,5,58.4,60.0,3419,5.84,5.87,3.42
23902,1.52,4,3,6,63.0,60.0,12013,7.3,7.25,4.58
9694,0.32,2,7,3,63.3,57.0,589,4.36,4.39,2.77
41251,0.38,3,2,2,62.7,58.0,500,4.57,4.61,2.88
44361,0.55,4,5,4,62.2,58.0,1580,5.22,5.26,3.26
3775,1.03,5,5,2,62.6,57.0,3461,6.44,6.4,4.02
14294,1.01,4,4,4,62.4,59.0,5787,6.45,6.41,4.01
37789,0.38,4,6,5,60.7,59.0,1000,4.69,4.73,2.86
2034,0.72,4,5,6,61.6,59.0,3105,5.78,5.72,3.54
48892,0.57,5,5,5,61.3,56.0,2039,5.35,5.36,3.28
33224,0.39,3,5,4,58.4,62.0,821,4.76,4.79,2.79
47951,0.71,4,1,4,62.8,61.0,1917,5.71,5.63,3.56
7209,1.04,2,7,2,57.6,63.0,4191,6.67,6.7,3.85
24691,0.41,2,6,2,63.2,58.0,638,4.68,4.72,2.97
15702,0.31,2,5,5,63.9,55.0,607,4.27,4.3,2.74
34490,0.43,4,4,4,62.3,58.0,867,4.81,4.85,3.01
30171,0.38,5,2,6,62.0,55.0,721,4.64,4.69,2.89
9678,1.04,5,3,3,62.5,57.0,4648,6.5,6.46,4.05
30207,0.34,5,6,3,60.4,57.0,723,4.53,4.55,2.74
47013,0.56,3,6,4,61.8,56.0,1819,5.28,5.31,3.27
36140,0.33,5,6,4,61.0,57.0,928,4.46,4.43,2.71
16181,1.0,4,5,4,62.4,60.0,6468,6.38,6.35,3.97
24406,1.14,3,6,8,63.3,57.0,12647,6.63,6.71,4.22
33569,0.43,4,7,3,61.2,58.0,830,4.83,4.87,2.97
2633,0.7,5,7,5,62.9,57.0,3229,5.67,5.61,3.55
38099,0.36,4,6,4,60.3,59.0,1013,4.64,4.58,2.78
18690,0.32,5,3,6,61.9,53.0,619,4.42,4.44,2.74
33516,0.33,4,6,4,62.0,60.0,829,4.46,4.41,2.75
2505,0.71,5,5,5,62.6,57.0,3199,5.7,5.73,3.58
9106,0.96,4,3,4,61.7,55.0,4529,6.36,6.31,3.91
34174,0.33,4,4,5,62.4,59.0,854,4.47,4.41,2.77
40930,0.3,5,6,3,62.3,57.0,499,4.29,4.31,2.68
49254,0.7,4,4,2,62.0,60.0,2087,5.7,5.62,3.51
36528,0.42,5,2,7,62.5,57.0,945,4.8,4.77,2.99
724,0.34,2,6,3,63.3,57.0,556,4.44,4.47,2.82
30082,0.32,4,2,6,60.7,59.0,720,4.43,4.4,2.68
3864,0.9,4,4,2,62.4,55.0,3478,6.17,6.13,3.84
50379,0.7,1,4,5,68.5,58.0,2250,5.47,5.34,3.7
48762,0.6,4,6,3,59.6,59.0,2016,5.52,5.48,3.28
36990,0.33,5,5,7,61.5,56.0,964,4.46,4.49,2.75
18335,1.5,3,3,3,62.0,63.0,7459,7.24,7.19,4.47
9647,1.12,4,3,2,59.7,60.0,4641,6.77,6.72,4.03
24601,2.02,3,1,3,63.5,60.0,12915,7.98,7.93,5.05
37402,0.38,5,7,5,62.3,54.0,983,4.64,4.7,2.9
32071,0.32,5,6,4,61.4,57.0,780,4.46,4.4,2.72
6346,1.0,4,3,2,62.7,59.0,4032,6.35,6.31,3.97
25745,1.5,4,7,4,62.5,61.0,14675,7.32,7.25,4.55
8949,1.19,4,2,2,60.1,59.0,4498,6.9,6.82,4.12
28040,0.41,1,3,3,65.4,61.0,659,4.51,4.63,2.99
8238,1.32,4,4,2,59.2,61.0,4373,7.21,7.14,4.25
47198,0.5,4,4,6,60.9,59.0,1838,5.09,5.12,3.11
19273,1.34,5,3,4,60.8,55.0,7999,7.18,7.12,4.35
22607,1.53,4,3,3,61.0,61.0,10659,7.45,7.4,4.53
17994,1.02,3,6,3,63.7,55.0,7277,6.29,6.4,4.04
40959,0.45,3,5,5,62.1,59.0,1179,4.85,4.81,3.0
38939,0.4,4,6,5,60.3,58.0,1053,4.8,4.82,2.9
25916,2.02,3,3,2,62.3,58.0,15064,7.97,8.04,4.99
51632,0.31,3,6,3,60.1,61.0,544,4.35,4.4,2.63
47741,0.7,4,5,2,62.0,58.0,1890,5.7,5.64,3.52
33733,0.35,5,5,5,60.9,56.0,839,4.52,4.56,2.77
3786,1.01,3,1,2,63.5,59.0,3462,6.3,6.36,4.02
22180,1.54,4,4,3,61.3,59.0,10219,7.41,7.38,4.53
39338,0.49,4,4,3,62.4,58.0,1072,5.05,4.99,3.13
12600,1.0,3,3,3,60.9,58.0,5287,6.43,6.46,3.93
13422,0.9,3,7,5,63.4,58.0,5511,6.15,6.09,3.88
20296,1.21,3,5,4,60.1,55.0,8711,6.91,7.01,4.18
3799,1.0,2,2,2,63.9,60.0,3465,6.26,6.3,4.01
25839,2.0,2,2,4,63.5,59.0,14889,7.93,7.98,5.05
42333,0.45,5,4,7,61.5,57.0,1297,4.91,4.95,3.03
37743,0.5,4,7,2,62.9,58.0,997,5.06,5.01,3.17
4247,0.9,5,3,2,62.0,57.0,3578,6.17,6.19,3.83
46171,0.5,4,6,4,61.8,58.0,1746,5.09,5.07,3.14
29648,0.35,5,5,4,60.8,57.0,706,4.52,4.56,2.76
